identifier,X,Y,rmse,mae,mean_rel_error,lpips,lacunarity_error
20180614_hrrrt19_npk,30.0,0.98,7.4469533,5.5875173,0.027815392,0.0126804374158382,0.0317672490337484
20180614_hrrrt19_idw,30.0,0.98,19.957346,15.937936,0.08800372,0.1191678941249847,0.0774927435801423
20180614_hrrrt19_ordinary_kriging,30.0,0.98,27.755558,22.804743,0.12099964,0.1293640732765197,0.0908401192342306
20180614_hrrrt19_pk,30.0,0.98,7.014355,5.290749,0.025969557,0.0107634449377655,0.0273349538930166
20180614_hrrrt19_npk,5.0,0.98,99.15567,83.9576,0.4063833,0.3772783577442169,0.3458800563165488
20180614_hrrrt19_idw,5.0,0.98,23.177706,18.621788,0.1601684,0.406706839799881,0.0965503667862803
20180614_hrrrt19_ordinary_kriging,5.0,0.98,27.123964,21.954008,0.17773022,0.193363219499588,0.1033842605425081
20180614_hrrrt19_pk,5.0,0.98,84.071106,68.41061,0.32334858,0.2999082803726196,0.2851974712851527
20180616_hrrrt19_npk,10.0,0.98,71.54542,58.739624,0.31305954,0.299014151096344,0.2323076561559774
20180616_hrrrt19_idw,10.0,0.98,22.093828,17.443449,0.2081023,0.3388154208660126,0.090968760397362
20180616_hrrrt19_ordinary_kriging,10.0,0.98,25.965338,20.901276,0.22531444,0.1296475082635879,0.0953597116597648
20180616_hrrrt19_pk,10.0,0.98,65.23369,52.67647,0.2717947,0.2454883456230163,0.2042380858229522
20180616_hrrrt19_npk,1.0,0.98,115.592316,107.89226,0.53451884,0.539557695388794,0.2960235243714896
20180616_hrrrt19_idw,1.0,0.98,25.36754,20.121548,0.20792204,0.6401932239532471,0.0892925234770883
20180616_hrrrt19_ordinary_kriging,1.0,0.98,33.176456,26.63141,0.2345529,0.5696856379508972,0.0562176004084165
20180616_hrrrt19_pk,1.0,0.98,106.904106,94.10771,0.46757695,0.5447160005569458,0.3363719453244527
20180616_hrrrt19_npk,20.0,0.98,8.356673,6.474214,0.06511601,0.0112813366577029,0.0296279739145312
20180616_hrrrt19_idw,20.0,0.98,21.450663,15.25145,0.22161172,0.1748130023479461,0.0785428372246571
20180616_hrrrt19_ordinary_kriging,20.0,0.98,25.739706,19.93317,0.24381934,0.1518749892711639,0.092608728883366
20180616_hrrrt19_pk,20.0,0.98,10.152294,7.654995,0.0743344,0.0190462190657854,0.0506560690143254
20180616_hrrrt19_npk,30.0,0.98,7.2842994,5.503835,0.04486248,0.0087085710838437,0.0052236202440923
20180616_hrrrt19_idw,30.0,0.98,18.589075,14.244073,0.1534124,0.1380666196346283,0.0711771759433598
20180616_hrrrt19_ordinary_kriging,30.0,0.98,25.864853,20.94735,0.18212792,0.1482861787080764,0.0864190186772592
20180616_hrrrt19_pk,30.0,0.98,7.3848724,5.565712,0.044033416,0.0082847252488136,0.0095203899810636
20180616_hrrrt19_npk,5.0,0.98,80.638695,67.82991,0.3397255,0.3287355303764343,0.2691811766877709
20180616_hrrrt19_idw,5.0,0.98,22.31984,17.269785,0.20587455,0.3947394490242004,0.0942921969188066
20180616_hrrrt19_ordinary_kriging,5.0,0.98,25.879261,20.345581,0.22127442,0.1965367943048477,0.0993441589165889
20180616_hrrrt19_pk,5.0,0.98,89.72455,72.446846,0.3578457,0.3355518281459808,0.336821802746145
20180619_hrrrt17_npk,10.0,0.98,57.256557,48.098995,0.25990456,0.2079166769981384,0.2017031575807362
20180619_hrrrt17_idw,10.0,0.98,24.91997,17.772985,0.17025326,0.2663523852825165,0.118468015548502
20180619_hrrrt17_ordinary_kriging,10.0,0.98,28.356544,21.342283,0.18848456,0.1638913005590438,0.1235447153561377
20180619_hrrrt17_pk,10.0,0.98,44.061207,34.785267,0.19087562,0.1525463908910751,0.1766084508659978
20180619_hrrrt17_npk,1.0,0.98,109.92431,100.27244,0.51337624,0.5071586966514587,0.2580233267544948
20180619_hrrrt17_idw,1.0,0.98,28.28309,21.320267,0.18327422,0.574385404586792,0.1279806660266253
20180619_hrrrt17_ordinary_kriging,1.0,0.98,29.96045,23.162476,0.1900512,0.5444773435592651,0.1205006616744098
20180619_hrrrt17_pk,1.0,0.98,93.95342,82.20477,0.42411566,0.5219911336898804,0.3396861009638827
20180619_hrrrt17_npk,20.0,0.98,9.7712,7.616112,0.05655775,0.016961745917797,0.0194040214985728
20180619_hrrrt17_idw,20.0,0.98,26.137877,18.959108,0.18479651,0.1423406451940536,0.1177440274127136
20180619_hrrrt17_ordinary_kriging,20.0,0.98,29.655201,22.8285,0.20474654,0.1537628173828125,0.1240627976812481
20180619_hrrrt17_pk,20.0,0.98,8.744049,6.5605526,0.045592133,0.016151275485754,0.0342541721587999
20180619_hrrrt17_npk,30.0,0.98,8.094801,6.0599723,0.031797364,0.0156330410391092,0.028839039162423
20180619_hrrrt17_idw,30.0,0.98,19.86987,14.658996,0.08533974,0.12383683770895,0.089135400931347
20180619_hrrrt17_ordinary_kriging,30.0,0.98,28.605387,23.038702,0.12977636,0.1455861330032348,0.1069954305645004
20180619_hrrrt17_pk,30.0,0.98,7.8416786,5.907489,0.031219011,0.0123584140092134,0.0214369587777405
20180619_hrrrt17_npk,5.0,0.98,68.485565,58.23741,0.3114478,0.2487613260746002,0.2672214570751718
20180619_hrrrt17_idw,5.0,0.98,27.846302,19.828623,0.18498476,0.3285601139068603,0.1222980229197849
20180619_hrrrt17_ordinary_kriging,5.0,0.98,31.242722,23.109198,0.2038784,0.2199143022298813,0.127416611586502
20180619_hrrrt17_pk,5.0,0.98,62.24052,46.76224,0.26525086,0.1887256503105163,0.2759765017789344
20180622_hrrrt18_npk,10.0,0.98,71.30814,61.16789,0.42985523,0.2253047823905944,0.1662877752942655
20180622_hrrrt18_idw,10.0,0.98,52.551,44.82208,0.40307415,0.4075203537940979,0.2232869204011249
20180622_hrrrt18_ordinary_kriging,10.0,0.98,57.544384,48.74722,0.42751777,0.2456590384244918,0.2196862888866092
20180622_hrrrt18_pk,10.0,0.98,64.52055,54.862366,0.41401088,0.2058071345090866,0.1761159626138075
20180622_hrrrt18_npk,1.0,0.98,106.63491,97.208084,0.5748971,0.3444261252880096,0.1797126143103147
20180622_hrrrt18_idw,1.0,0.98,45.88219,36.849358,0.42221263,0.5964053273200989,0.2427776063699862
20180622_hrrrt18_ordinary_kriging,1.0,0.98,47.70953,38.081856,0.42904228,0.5907188653945923,0.248402616370831
20180622_hrrrt18_pk,1.0,0.98,84.293175,72.89021,0.51151097,0.3237467408180237,0.160606315338571
20180622_hrrrt18_npk,20.0,0.98,34.840996,26.566372,0.16592297,0.089510828256607,0.1398117832061461
20180622_hrrrt18_idw,20.0,0.98,33.700794,25.768385,0.28777963,0.2221592664718628,0.1981575465360216
20180622_hrrrt18_ordinary_kriging,20.0,0.98,28.548498,21.082697,0.18199216,0.1412084847688675,0.1688560310818962
20180622_hrrrt18_pk,20.0,0.98,28.517796,21.812078,0.13252999,0.0758765786886215,0.1259900125013996
20180622_hrrrt18_npk,30.0,0.98,18.785677,13.990237,0.09598051,0.0593080930411815,0.0719375422046328
20180622_hrrrt18_idw,30.0,0.98,30.239075,20.384937,0.30707848,0.1683099716901779,0.1835676898169188
20180622_hrrrt18_ordinary_kriging,30.0,0.98,25.235487,16.693863,0.20679973,0.1187632083892822,0.1624053259224435
20180622_hrrrt18_pk,30.0,0.98,18.401182,13.0712185,0.09002454,0.0522898137569427,0.0691203895257908
20180622_hrrrt18_npk,5.0,0.98,76.55528,66.45401,0.44347388,0.2444578409194946,0.1663602852219764
20180622_hrrrt18_idw,5.0,0.98,46.258858,38.16367,0.36830714,0.4774568676948547,0.2287597132847265
20180622_hrrrt18_ordinary_kriging,5.0,0.98,54.50587,45.843525,0.43659902,0.3716940879821777,0.2416559911007582
20180622_hrrrt18_pk,5.0,0.98,66.26585,55.822018,0.4041199,0.2026165127754211,0.0931471397611343
20180622_hrrrt22_npk,10.0,0.98,72.03795,56.473015,0.28635392,0.1904607415199279,0.2627947698296751
20180622_hrrrt22_idw,10.0,0.98,26.716743,20.69623,0.14172693,0.3001585006713867,0.0922308519995729
20180622_hrrrt22_ordinary_kriging,10.0,0.98,25.018372,19.710062,0.12768885,0.1133539155125618,0.0978554247506994
20180622_hrrrt22_pk,10.0,0.98,80.66333,63.113365,0.31955233,0.2145980596542358,0.3230398433049786
20180622_hrrrt22_npk,1.0,0.98,113.380554,104.77983,0.5673046,0.4047058522701263,0.4505040772697273
20180622_hrrrt22_idw,1.0,0.98,42.799374,33.261833,0.38260254,0.6580057144165039,0.1365370737726808
20180622_hrrrt22_ordinary_kriging,1.0,0.98,43.14297,33.903107,0.3808096,0.5129142999649048,0.1412193086059654
20180622_hrrrt22_pk,1.0,0.98,84.34552,71.15676,0.39776373,0.3399678468704223,0.3638964363501967
20180622_hrrrt22_npk,20.0,0.98,17.437565,13.477265,0.07303905,0.0629072412848472,0.0206052777648927
20180622_hrrrt22_idw,20.0,0.98,21.757267,16.644491,0.13911909,0.1555292606353759,0.1059413174013024
20180622_hrrrt22_ordinary_kriging,20.0,0.98,21.423515,16.563625,0.12224804,0.0795061662793159,0.1010731398349882
20180622_hrrrt22_pk,20.0,0.98,22.177408,16.605204,0.08632565,0.0804321467876434,0.044352424349366
20180622_hrrrt22_npk,30.0,0.98,15.259186,11.453627,0.063859195,0.0593980997800827,0.0487745640734821
20180622_hrrrt22_idw,30.0,0.98,19.374224,15.004184,0.13432212,0.1232437193393707,0.0968007175405668
20180622_hrrrt22_ordinary_kriging,30.0,0.98,19.346857,14.857392,0.113513194,0.0756662413477897,0.0900624874143457
20180622_hrrrt22_pk,30.0,0.98,16.156733,11.934288,0.066332534,0.0637474730610847,0.0500875831599137
20180622_hrrrt22_npk,5.0,0.98,74.87803,61.747173,0.31668591,0.2261778861284256,0.2597833638485985
20180622_hrrrt22_idw,5.0,0.98,28.527596,21.900309,0.15283078,0.3524417877197265,0.1194267022362944
20180622_hrrrt22_ordinary_kriging,5.0,0.98,25.906519,20.125643,0.13699739,0.1466903090476989,0.1214291791569814
20180622_hrrrt22_pk,5.0,0.98,75.0561,59.708412,0.31288058,0.2285340726375579,0.3269711440209578
20180625_hrrrt17_npk,10.0,0.98,54.707848,43.232983,0.2400628,0.1575161218643188,0.2428072758554398
